last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
Langeliers, Shea,669127,133,OAK,DH,24,43,,4.49,28.7
Solak, Nick,669256,140,TEX,LF,27,36,1,4.40,28.7
McCormick, Chas,676801,117,HOU,CF,27,124,5,4.27,28.7
Suwinski, Jack,669261,134,PIT,LF,23,104,3,4.32,28.7
Nimmo, Brandon,607043,121,NYM,CF,29,282,30,4.18,28.7
Merrifield, Whit,593160,141,TOR,2B,33,183,1,4.32,28.7
Cordero, Franchy,614173,111,BOS,1B,27,73,4,4.27,28.6
Hernández, Teoscar,606192,141,TOR,RF,29,177,5,4.33,28.6
Garrett, Stone,656448,109,ARI,LF,26,22,1,4.46,28.6
Olivares, Edward,658668,118,KC,RF,26,70,1,4.36,28.6
Munoz, Yairo,622168,143,PHI,2B,27,32,,4.33,28.6
Pache, Cristian,665506,133,OAK,CF,23,101,,4.39,28.6
Bruján, Vidal,660644,139,TB,2B,24,50,2,4.28,28.5
Palacios, Josh,641943,120,WSH,RF,26,19,,4.20,28.5
Taylor, Chris,621035,119,LAD,LF,31,109,,4.35,28.5
Hensley, David,682073,117,HOU,DH,26,13,,,28.5
Hermosillo, Michael,641684,112,CHC,CF,27,17,,,28.5
Cameron, Daz,663662,116,DET,RF,25,23,1,4.41,28.5
Acuña Jr., Ronald,660670,144,ATL,RF,24,179,25,4.27,28.5
Peterson, Jace,607054,158,MIL,3B,32,107,3,4.25,28.5
Story, Trevor,596115,111,BOS,2B,29,113,5,4.33,28.5
Barrera, Luis,642456,133,OAK,RF,26,39,3,4.22,28.5
Ramírez, José,608070,114,CLE,3B,29,228,6,4.22,28.5
Gonzalez, Romy,663853,145,CWS,2B,25,39,1,4.38,28.5
Garcia, Maikel,672580,118,KC,SS,22,10,1,,28.5
Mullins, Cedric,656775,110,BAL,CF,27,197,18,4.16,28.5
Taylor, Tyrone,621438,158,MIL,CF,28,139,2,4.50,28.5
Biggio, Cavan,624415,141,TOR,2B,27,79,,4.35,28.5
Garcia, Leury,544725,145,CWS,2B,31,131,4,4.18,28.4
Waters, Drew,671221,118,KC,RF,23,36,,,28.4
Contreras, Mark,676628,142,MIN,CF,27,17,,4.35,28.4
Chang, Yu,644374,111,BOS,2B,26,61,,4.52,28.4
Lewis, Royce,668904,142,MIN,SS,23,15,,,28.4
Kiner-Falefa, Isiah,643396,147,NYY,SS,27,255,,4.27,28.4
Ward, Taylor,621493,108,LAA,RF,28,160,6,4.40,28.4
Kim, Ha-Seong,673490,135,SD,SS,26,228,1,4.39,28.4
Swanson, Dansby,621020,144,ATL,SS,28,210,9,4.33,28.4
Kwan, Steven,680757,114,CLE,LF,24,272,17,4.16,28.4
Wallner, Matt,670242,142,MIN,RF,24,20,,4.32,28.4
Iglesias, José,578428,115,COL,SS,32,206,8,4.24,28.4
Palacios, Jermaine,650339,142,MIN,SS,25,23,,4.45,28.4
Call, Alex,669743,120,WSH,LF,27,34,,4.37,28.4
Strange-Gordon, Dee,543829,120,WSH,SS,34,32,1,4.13,28.4
Castro, Willi,650489,116,DET,RF,25,137,,4.29,28.4
Gutiérrez, Kelvin,642721,110,BAL,3B,27,13,,,28.4
Chapman, Matt,656305,141,TOR,3B,29,150,,4.44,28.4
Suzuki, Seiya,673548,112,CHC,RF,27,142,2,4.33,28.3
Mercado, Oscar,640458,114,CLE,RF,27,39,,4.41,28.3
McKinstry, Zach,656716,112,CHC,2B,27,54,,4.31,28.3
Hernández, César,514917,120,WSH,2B,32,223,19,4.26,28.3
Anderson, Tim,641313,145,CWS,SS,29,148,29,4.32,28.3
Moore, Dylan,664238,136,SEA,RF,29,67,,4.40,28.3
Toglia, Michael,669911,115,COL,RF,23,34,,,28.3
Estrada, Thairo,642731,137,SF,2B,26,223,6,4.30,28.3
Kreidler, Ryan,668952,116,DET,3B,24,20,,4.38,28.3
Springer, George,543807,141,TOR,CF,32,205,2,4.37,28.3
Dalbec, Bobby,666915,111,BOS,1B,27,87,,4.49,28.3
Demeritte, Travis,641513,144,ATL,RF,27,31,,4.46,28.3
Ohtani, Shohei,660271,108,LAA,DH,27,196,9,4.09,28.3
Reynolds, Bryan,668804,134,PIT,CF,27,193,1,4.34,28.3
García, Avisaíl,541645,146,MIA,RF,31,140,,4.54,28.3
Cain, Lorenzo,456715,158,MIL,CF,36,64,2,4.40,28.3
Smith, Josh H.,669701,140,TEX,3B,24,61,,4.32,28.2
Dubón, Mauricio,643289,117,HOU,CF,27,90,,4.28,28.2
Nootbaar, Lars,663457,138,STL,RF,24,124,,4.28,28.2
Clement, Ernie,676391,133,OAK,3B,26,68,,4.32,28.2
Cronenworth, Jake,630105,135,SD,2B,28,222,1,4.34,28.2
González, Luis,670768,137,SF,RF,26,119,,4.25,28.2
Velázquez, Nelson,676369,112,CHC,CF,23,70,,4.43,28.2
Escobar, Alcides,444876,120,WSH,SS,35,43,1,4.39,28.2
Daza, Yonathan,602074,115,COL,CF,28,203,,4.35,28.2
Slater, Austin,596103,137,SF,CF,29,105,7,4.37,28.2
Myers, Wil,571976,135,SD,RF,31,94,,4.43,28.2
Polanco, Jorge,593871,142,MIN,2B,28,97,1,4.18,28.2
Friedl, TJ,670770,113,CIN,LF,26,72,,4.26,28.2
Allen, Greg,656185,134,PIT,LF,29,42,3,4.47,28.1
Bethancourt, Christian,542194,139,TB,C,30,111,,4.43,28.1
Moniak, Mickey,666160,108,LAA,CF,24,29,3,4.32,28.2
Tapia, Raimel,606132,141,TOR,LF,28,190,10,4.27,28.2
Burdick, Peyton,680814,146,MIA,CF,25,23,,4.43,28.1
Ramírez, Harold,623912,139,TB,DH,27,182,1,4.33,28.1
Lee, Korey,686676,117,HOU,C,23,11,,,28.1
Bellinger, Cody,641355,119,LAD,CF,26,128,2,4.23,28.1
Carlson, Dylan,666185,138,STL,CF,23,177,,4.32,28.1
Yelich, Christian,592885,158,MIL,LF,30,245,8,4.37,28.1
Davis, Jonathan,641505,158,MIL,CF,30,30,,4.41,28.1
Freeman, Tyler,671289,114,CLE,3B,23,40,,4.40,28.1
Arias, Gabriel,672356,114,CLE,3B,22,24,,4.44,28.0
Bouchard, Sean,656248,115,COL,LF,26,21,,,28.0
Duggar, Steven,621453,108,LAA,CF,28,15,,,28.0
Heredia, Guillermo,628338,144,ATL,RF,31,25,,4.38,28.0
Varsho, Daulton,662139,109,ARI,RF,25,184,,4.28,28.0
Cave, Jake,595909,142,MIN,LF,29,49,,4.31,28.0
Leblanc, Charles,641779,146,MIA,2B,26,50,,4.33,28.0
Fraley, Jake,641584,113,CIN,LF,27,75,,4.26,28.0
Jones, Nolan,666134,114,CLE,RF,24,26,,4.41,28.0
Altuve, Jose,514888,117,HOU,2B,32,221,36,4.24,28.0
Marte, Starling,516782,121,NYM,RF,33,223,13,4.28,28.0
González, Erik,570481,146,MIA,3B,30,15,,,28.0
Grichuk, Randal,545341,115,COL,RF,30,206,,4.50,28.0
Toro, Abraham,647351,136,SEA,2B,25,113,,4.31,28.0
Ahmed, Nick,605113,109,ARI,SS,32,24,,4.47,27.9
Isbel, Kyle,664728,118,KC,RF,25,96,1,4.34,28.0
Duvall, Adam,594807,144,ATL,CF,33,78,,4.46,27.9
Grossman, Robbie,543257,144,ATL,LF,32,110,,4.39,27.9
Rengifo, Luis,650859,108,LAA,2B,25,222,,4.31,27.9
Florial, Estevan,664314,147,NYY,CF,24,12,1,,27.9
Escobar, Eduardo,500871,121,NYM,3B,33,139,,4.29,27.9
Hicks, Aaron,543305,147,NYY,CF,32,116,,4.26,27.9
Pham, Tommy,502054,111,BOS,LF,34,197,1,4.54,27.9
Happ, Ian,664023,112,CHC,LF,27,226,,4.32,27.9
Báez, Javier,595879,116,DET,SS,29,231,,4.35,27.9
García, Adolis,666969,140,TEX,RF,29,197,12,4.35,27.9
Robert, Luis,673357,145,CWS,CF,24,148,8,4.38,27.9
Newman, Kevin,621028,134,PIT,2B,28,130,,4.39,27.9
Margot, Manuel,622534,139,TB,RF,27,140,3,4.34,27.9
Gamel, Ben,592325,134,PIT,LF,30,131,1,4.35,27.9
Celestino, Gilberto,665482,142,MIN,CF,23,151,1,4.50,27.9
Haseley, Adam,656514,145,CWS,CF,26,14,1,,27.9
Haase, Eric,606992,116,DET,C,29,113,,4.50,27.9
Culberson, Charlie,518586,140,TEX,3B,33,55,,4.33,27.9
Bogaerts, Xander,593428,111,BOS,SS,29,239,1,4.31,27.9
Hayes, Ke'Bryan,663647,134,PIT,3B,25,199,,4.41,27.9
Barrero, Jose,676480,113,CIN,SS,24,33,,4.49,27.9
Madris, Bligh,676632,134,PIT,RF,26,47,,4.38,27.9
Kepler, Max,596146,142,MIN,RF,29,161,2,4.34,27.9
Dozier, Hunter,641531,118,KC,1B,30,165,,4.49,27.9
Brown, Seth,664913,133,OAK,1B,29,149,,4.51,27.9
Fortes, Nick,663743,146,MIA,C,25,73,,4.48,27.9
Palacios, Richie,680700,114,CLE,LF,25,41,,4.35,27.9
Blackmon, Charlie,453568,115,COL,DH,35,211,1,4.36,27.9
Torkelson, Spencer,679529,116,DET,1B,22,120,,4.54,27.8
Rooker, Brent,667670,118,KC,LF,27,10,,,27.8
Bolt, Skye,621450,133,OAK,CF,28,37,1,4.45,27.8
Thompson, Trayce,572204,119,LAD,LF,31,61,,4.47,27.8
De La Cruz, Bryan,650559,146,MIA,CF,25,116,1,4.52,27.8
Arroyo, Christian,624414,111,BOS,2B,27,115,,4.42,27.8
Owings, Chris,572008,110,BAL,2B,30,22,,4.34,27.8
Adames, Willy,642715,158,MIL,SS,26,159,1,4.41,27.8
Melendez, MJ,669004,118,KC,C,23,152,,4.21,27.8
Riley, Austin,663586,144,ATL,3B,25,226,,4.50,27.8
Gordon, Nick,624503,142,MIN,LF,26,153,1,4.41,27.8
Encarnacion, Jerar,666464,146,MIA,LF,24,27,,4.48,27.8
Hays, Austin,669720,110,BAL,LF,26,226,,4.36,27.8
Bleday, JJ,668709,146,MIA,CF,24,46,,4.41,27.8
Franco, Wander,677551,139,TB,SS,21,131,1,4.29,27.8
Pollock, AJ,572041,145,CWS,LF,34,202,1,4.42,27.8
DeJong, Paul,657557,138,STL,SS,28,46,,4.47,27.8
Burger, Jake,669394,145,CWS,3B,26,57,,4.50,27.8
Wisdom, Patrick,621550,112,CHC,3B,30,130,,4.50,27.8
Naquin, Tyler,571980,121,NYM,RF,31,91,,4.44,27.7
Luplow, Jordan,656669,109,ARI,RF,28,56,,4.45,27.8
Greene, Riley,682985,116,DET,CF,21,162,,4.29,27.7
Brosseau, Mike,670712,158,MIL,3B,28,41,,4.49,27.7
India, Jonathan,663697,113,CIN,2B,25,135,,4.46,27.7
Grissom, Vaughn,687093,144,ATL,2B,21,59,,4.47,27.7
Segura, Jean,516416,143,PHI,2B,32,182,3,4.31,27.7
Tucker, Cole,657061,134,PIT,RF,25,22,,4.35,27.7
Stevenson, Cal,670276,133,OAK,CF,25,20,,,27.7
Lopez, Nicky,670032,118,KC,2B,27,211,,4.24,27.7
Díaz, Aledmys,649557,117,HOU,LF,31,118,1,4.34,27.7
Allen, Nick,669397,133,OAK,SS,23,128,,4.42,27.7
Alcántara, Sergio,642727,109,ARI,3B,25,79,,4.43,27.6
Kirilloff, Alex,666135,142,MIN,LF,24,71,,4.32,27.6
Castellanos, Nick,592206,143,PHI,RF,30,194,,4.42,27.6
Harper, Bryce,547180,143,PHI,DH,29,152,,4.40,27.6
Almora Jr., Albert,546991,113,CIN,RF,28,106,,4.45,27.6
Park, Hoy,660829,134,PIT,2B,26,19,,4.30,27.6
Sosa, Lenyn,672820,145,CWS,SS,22,15,,4.57,27.6
Walton, Donovan,622268,137,SF,2B,28,35,,4.32,27.6
Smith, Kevin,675656,133,OAK,3B,25,45,,4.48,27.6
Laureano, Ramón,657656,133,OAK,RF,27,113,,4.43,27.6
Rosario, Eddie,592696,144,ATL,LF,30,79,,4.28,27.6
Contreras, Willson,575929,112,CHC,C,30,173,,4.43,27.6
Mathias, Mark,664029,140,TEX,DH,27,23,,4.43,27.6
Capel, Conner,668843,133,OAK,RF,25,22,,4.31,27.6
Cabrera, Oswaldo,665828,147,NYY,RF,23,47,,4.47,27.5
Lowe, Brandon,664040,139,TB,2B,27,84,,4.37,27.5
Payton, Mark,592622,145,CWS,LF,30,10,,,27.6
Peralta, David,444482,139,TB,LF,34,148,,4.44,27.6
Reyes, Victor,622682,116,DET,RF,27,119,,4.50,27.5
Lindor, Francisco,596019,121,NYM,SS,28,237,,4.44,27.5
Lagares, Juan,501571,108,LAA,RF,33,23,,4.49,27.5
Soto, Livan,670869,108,LAA,SS,22,19,,,27.5
Hiura, Keston,669374,158,MIL,1B,25,51,,4.62,27.5
Albies, Ozzie,645277,144,ATL,2B,25,88,3,4.20,27.5
Anderson, Brian,605119,146,MIA,3B,29,125,,4.44,27.5
Benintendi, Andrew,643217,147,NYY,LF,27,186,1,4.38,27.5
Smith, Will,669257,119,LAD,C,27,160,,4.50,27.5
Jansen, Danny,643376,141,TOR,C,27,61,,4.51,27.5
Mountcastle, Ryan,663624,110,BAL,1B,25,165,,4.51,27.5
Goodrum, Niko,592348,117,HOU,2B,30,12,,,27.5
Canha, Mark,592192,121,NYM,LF,33,197,,4.46,27.5
Bichette, Bo,666182,141,TOR,SS,24,237,,4.50,27.5
Ibáñez, Andy,628451,140,TEX,3B,29,46,,4.41,27.5
Brennan, Will,686823,114,CLE,LF,24,25,,4.41,27.4
Ramos, Heliot,671218,137,SF,RF,22,10,,,27.4
Andújar, Miguel,609280,134,PIT,LF,27,54,,4.51,27.4
Garcia, Dermis,660650,133,OAK,1B,24,39,,4.65,27.4
Steer, Spencer,668715,113,CIN,3B,24,34,,4.53,27.4
Madrigal, Nick,663611,112,CHC,2B,25,115,,4.37,27.4
Reynolds, Matt,608703,113,CIN,2B,31,92,,4.58,27.4
Mondesi, Adalberto,609275,118,KC,SS,26,10,5,,27.4
Moncada, Yoán,660162,145,CWS,3B,27,116,,4.39,27.4
Moreno, Gabriel,672515,141,TOR,C,22,30,1,4.33,27.4
McNeil, Jeff,643446,121,NYM,2B,30,222,,4.16,27.4
Stubbs, Garrett,596117,143,PHI,C,29,34,,4.41,27.3
Judge, Aaron,592450,147,NYY,CF,30,166,,4.66,27.3
Gregorius, Didi,544369,143,PHI,SS,32,81,,4.38,27.3
Castro, Rodolfo,666801,134,PIT,2B,23,100,,4.45,27.3
Rojas, Josh,668942,109,ARI,3B,28,160,,4.37,27.3
Clemens, Kody,665019,116,DET,3B,26,38,,4.47,27.3
Wendle, Joey,621563,146,MIA,3B,32,170,,4.29,27.3
Betts, Mookie,605141,119,LAD,RF,29,191,,4.45,27.3
Bryant, Kris,592178,115,COL,LF,30,67,,4.47,27.3
Castillo, Diego,660636,134,PIT,SS,24,88,,4.57,27.3
Candelario, Jeimer,600869,116,DET,3B,28,159,,4.51,27.3
Mayfield, Jack,608686,108,LAA,3B,31,27,,4.42,27.3
O'Hearn, Ryan,656811,118,KC,DH,28,37,,4.54,27.3
Sánchez, Jesús,660821,146,MIA,CF,24,115,,4.48,27.3
Carpenter, Kerry,681481,116,DET,DH,24,33,,4.42,27.3
Perdomo, Geraldo,672695,109,ARI,SS,22,164,,4.48,27.2
Gurriel Jr., Lourdes,666971,141,TOR,LF,28,182,,4.44,27.3
Pratto, Nick,668472,118,KC,1B,23,40,,4.40,27.2
Donovan, Brendan,680977,138,STL,2B,25,220,1,4.38,27.2
Meadows, Austin,640457,116,DET,RF,27,39,,4.40,27.2
Kelenic, Jarred,672284,136,SEA,CF,22,47,1,4.39,27.2
Muncy, Max,571970,119,LAD,3B,31,126,,4.43,27.2
Rutschman, Adley,668939,110,BAL,C,24,158,,4.40,27.2
Bart, Joey,663698,137,SF,C,25,59,,4.61,27.1
Hager, Jake,606993,109,ARI,2B,29,21,,4.61,27.2
Vargas, Ildemaro,545121,120,WSH,3B,30,102,,4.48,27.1
Gallo, Joey,608336,119,LAD,LF,28,62,,4.58,27.1
Miller, Brad,543543,140,TEX,LF,32,62,,4.44,27.1
Renfroe, Hunter,592669,158,MIL,RF,30,137,,4.52,27.1
Refsnyder, Rob,608701,111,BOS,RF,31,49,,4.47,27.1
Correa, Carlos,621043,142,MIN,SS,27,180,1,4.58,27.1
Vavra, Terrin,679631,110,BAL,2B,25,28,,4.53,27.1
Massey, Michael,686681,118,KC,2B,24,59,,4.47,27.1
Bohm, Alec,664761,143,PHI,3B,25,252,,4.59,27.1
Díaz, Yandy,650490,139,TB,3B,30,224,,4.53,27.1
McKinney, Billy,641856,133,OAK,RF,27,18,,4.44,27.0
Bradley Jr., Jackie,598265,141,TOR,RF,32,151,,4.42,27.0
Lowe, Nathaniel,663993,140,TEX,1B,26,214,,4.39,27.1
Huff, Sam,669087,140,TEX,C,24,37,,4.60,27.0
Harrison, Josh,543281,145,CWS,2B,34,139,,4.49,27.0
Odor, Rougned,596059,110,BAL,2B,28,109,1,4.39,27.0
Drury, Brandon,592273,135,SD,3B,29,192,,4.52,27.0
Stowers, Kyle,669065,110,BAL,LF,24,29,,4.55,27.0
García, Luis,671277,120,WSH,SS,22,153,,4.28,27.0
Larnach, Trevor,663616,142,MIN,LF,25,59,,4.48,27.0
Ortega, Rafael,542364,112,CHC,CF,31,98,,4.53,27.0
Espinal, Santiago,669289,141,TOR,2B,27,197,,4.38,27.0
Heyward, Jason,518792,112,CHC,CF,32,56,,4.43,27.0
Contreras, William,661388,144,ATL,C,24,126,,4.51,27.0
Yastrzemski, Mike,573262,137,SF,CF,31,138,,4.41,27.0
Schoop, Jonathan,570731,116,DET,2B,30,183,,4.61,27.0
Dickerson, Corey,572816,138,STL,LF,33,126,,4.35,27.0
Trammell, Taylor,666211,136,SEA,RF,24,29,,4.33,27.0
Marte, Ketel,606466,109,ARI,2B,28,193,1,4.46,27.0
Soler, Jorge,624585,146,MIA,LF,30,80,,4.66,26.9
Beckham, Tim,542921,142,MIN,DH,32,10,,,26.9
Rivera, Emmanuel,656896,109,ARI,3B,26,134,,4.68,26.9
Bride, Jonah,681146,133,OAK,2B,26,65,,4.52,26.9
Torres, Gleyber,650402,147,NYY,2B,25,152,,4.51,26.9
Hernández, Enrique,571771,111,BOS,CF,30,131,,4.57,26.9
Herrera, Odúbel,546318,143,PHI,CF,30,74,1,4.28,26.9
Freeman, Freddie,518692,119,LAD,1B,32,253,,4.48,26.9
Haniger, Mitch,571745,136,SEA,RF,31,63,,4.60,26.9
Jung, Josh,673962,140,TEX,3B,24,29,,4.57,26.9
Mejía, Francisco,642336,139,TB,C,26,91,,4.42,26.9
Bemboom, Anthony,621532,110,BAL,C,32,18,,4.52,26.9
Montero, Elehuris,660707,115,COL,3B,23,59,,4.66,26.9
Crawford, J.P.,641487,136,SEA,SS,27,230,,4.45,26.8
Gorman, Nolan,669357,138,STL,2B,22,57,,4.38,26.9
Pinto, René,650907,139,TB,C,25,20,,4.46,26.9
Arraez, Luis,650333,142,MIN,1B,25,221,,4.49,26.8
Yepez, Juan,660766,138,STL,LF,24,94,,4.66,26.8
Joe, Connor,656582,115,COL,LF,29,165,,4.57,26.8
Verdugo, Alex,657077,111,BOS,LF,26,240,,4.38,26.8
Duffy, Matt,622110,108,LAA,3B,31,89,,4.56,26.8
Raleigh, Cal,663728,136,SEA,C,25,89,,4.57,26.8
Beaty, Matt,607461,135,SD,RF,29,14,,,26.8
Gurriel, Yuli,493329,117,HOU,1B,38,217,,4.45,26.8
Frazier, Adam,624428,136,SEA,2B,30,221,,4.40,26.8
Villar, Jonathan,542340,108,LAA,2B,31,89,,4.42,26.8
Baty, Brett,683146,121,NYM,3B,22,13,,,26.8
Farmer, Kyle,571657,113,CIN,SS,31,209,,4.58,26.8
Hernandez, Yonny,660634,109,ARI,3B,24,16,,,26.8
Heineman, Tyler,623168,134,PIT,C,31,52,,4.45,26.7
MacKinnon, David,676950,133,OAK,1B,27,14,,,26.7
Trejo, Alan,676701,115,COL,SS,26,38,,4.70,26.7
Villar, David,681584,137,SF,3B,25,45,,4.59,26.7
Frazier, Jackson,640449,112,CHC,DH,27,17,,,26.7
Urías, Ramón,602104,110,BAL,3B,28,147,,4.66,26.7
Vosler, Jason,613564,137,SF,3B,28,35,,4.55,26.7
Simmons, Andrelton,592743,112,CHC,SS,32,39,,4.54,26.7
Bote, David,623520,112,CHC,3B,29,44,,4.50,26.7
Adams, Riley,656180,120,WSH,C,26,45,,4.62,26.7
Murphy, Tom,608596,136,SEA,C,31,11,,,26.7
Rodgers, Brendan,663898,115,COL,2B,25,233,,4.52,26.7
Barnes, Austin,605131,119,LAD,C,32,72,,4.66,26.7
Matijevic, J.J.,656695,117,HOU,DH,26,21,,4.35,26.7
Garlick, Kyle,664247,142,MIN,LF,30,46,,4.68,26.6
Guerrero Jr., Vladimir,665489,141,TOR,1B,23,279,,4.56,26.6
Maton, Nick,665155,143,PHI,2B,25,18,,,26.6
Sheets, Gavin,657757,145,CWS,RF,26,128,,4.52,26.6
Soto, Juan,665742,135,SD,RF,23,257,,4.39,26.6
Lopez, Alejo,664670,113,CIN,2B,26,61,,4.40,26.6
Profar, Jurickson,595777,135,SD,LF,29,227,,4.48,26.6
Walker, Christian,572233,109,ARI,1B,31,189,,4.64,26.6
Ozuna, Marcell,542303,144,ATL,DH,31,136,,4.67,26.6
Smith, Pavin,656976,109,ARI,RF,26,83,,4.57,26.5
Stephenson, Tyler,663886,113,CIN,C,25,56,,4.64,26.5
