player_id,AggressiveHitter,PatientHitter,FreeSwinger,ContactHitter,PowerHitter,PullHitter,PushHitter,SprayHitter,ToughOut,Slugger,SlapHitter,Refined,GoodCatcher,GreatCatcher,GdIFHtr,GrtIFHtr,PivotMan
405395,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
408234,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
425877,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
443558,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
444482,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
446334,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
453568,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
455117,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
456781,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
457705,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
457759,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
458015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
462101,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
467793,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
474832,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
488726,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
493329,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
500743,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
500871,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
502054,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
502110,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
502671,False,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False
514888,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
514917,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
516416,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
516782,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
518595,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
518626,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
